Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,7/1/2023 12 a.m. EDT,2024,3,647,1068,214,43824,17270,32831
PJM,7/1/2023 1 a.m. EDT,508,1,486,1027,224,44122,16279,32816
PJM,7/1/2023 2 a.m. EDT,479,1,434,1029,223,43665,15608,32837
PJM,7/1/2023 3 a.m. EDT,406,1,406,1029,223,42412,14829,32828
PJM,7/1/2023 4 a.m. EDT,519,1,410,1044,223,40147,14495,32853
PJM,7/1/2023 5 a.m. EDT,1058,1,487,1031,228,39626,14246,32915
PJM,7/1/2023 6 a.m. EDT,1614,64,528,1041,231,38263,14038,32932
PJM,7/1/2023 7 a.m. EDT,1409,715,674,1109,226,39332,13954,32928
PJM,7/1/2023 8 a.m. EDT,1359,1458,597,1190,223,42794,14060,32906
PJM,7/1/2023 9 a.m. EDT,1234,2139,658,1265,222,45142,14684,32879
PJM,7/1/2023 10 a.m. EDT,1403,2542,654,1352,220,47910,15541,32862
PJM,7/1/2023 11 a.m. EDT,1559,2936,1171,1466,233,50819,16601,32847
PJM,7/1/2023 12 p.m. EDT,789,3384,1170,1986,390,53406,17394,32812
PJM,7/1/2023 1 p.m. EDT,998,3410,3034,2121,444,54619,17850,32805
PJM,7/1/2023 2 p.m. EDT,1202,3583,3709,2094,440,54697,18989,32778
PJM,7/1/2023 3 p.m. EDT,1236,3466,4334,2081,442,54744,20847,32762
PJM,7/1/2023 4 p.m. EDT,1065,3142,5020,2125,440,55213,21526,32765
PJM,7/1/2023 5 p.m. EDT,643,1870,5200,2062,444,56902,22739,32750
PJM,7/1/2023 6 p.m. EDT,896,1365,5029,2019,392,55981,20650,32753
PJM,7/1/2023 7 p.m. EDT,834,406,4766,1840,399,54243,20650,32766
PJM,7/1/2023 8 p.m. EDT,1226,49,4062,1849,387,52234,19185,32766
PJM,7/1/2023 9 p.m. EDT,1426,6,2160,1834,415,53323,18858,32762
PJM,7/1/2023 10 p.m. EDT,1956,6,759,1266,252,51205,17637,32772
PJM,7/1/2023 11 p.m. EDT,2274,6,412,1124,212,47904,17051,32795
PJM,7/2/2023 12 a.m. EDT,489,1,503,1038,222,46103,18920,32792
PJM,7/2/2023 1 a.m. EDT,1204,6,456,1035,174,43036,15099,32804
PJM,7/2/2023 2 a.m. EDT,1237,6,442,1050,172,41158,14762,32811
PJM,7/2/2023 3 a.m. EDT,953,6,365,1039,174,39646,14370,32818
PJM,7/2/2023 4 a.m. EDT,1274,6,363,1048,174,38329,14104,32817
PJM,7/2/2023 5 a.m. EDT,1230,6,339,1049,185,37868,14044,32797
PJM,7/2/2023 6 a.m. EDT,1274,49,404,1051,217,37347,13961,32838
PJM,7/2/2023 7 a.m. EDT,1486,886,439,1265,220,35581,13942,32830
PJM,7/2/2023 8 a.m. EDT,1717,1887,505,1424,218,38962,14005,32817
PJM,7/2/2023 9 a.m. EDT,1699,2002,549,1350,217,42610,14222,32800
PJM,7/2/2023 10 a.m. EDT,2271,2562,498,1678,217,46196,14482,32771
PJM,7/2/2023 11 a.m. EDT,2392,3247,977,1870,229,48588,15339,32769
PJM,7/2/2023 12 p.m. EDT,2336,3626,984,2141,413,52036,16077,32728
PJM,7/2/2023 1 p.m. EDT,2501,3276,2139,2292,440,53225,17737,32677
PJM,7/2/2023 2 p.m. EDT,3049,3224,2176,2359,426,55340,18475,32674
PJM,7/2/2023 3 p.m. EDT,3211,2905,3743,2361,418,55343,19208,32657
PJM,7/2/2023 4 p.m. EDT,3250,2740,4046,2368,481,56018,20689,32643
PJM,7/2/2023 5 p.m. EDT,3034,1954,4869,2212,572,56938,21617,32667
PJM,7/2/2023 6 p.m. EDT,2272,1674,5445,2160,585,56889,22140,32674
PJM,7/2/2023 7 p.m. EDT,1862,784,4047,2079,557,56346,21973,32646
PJM,7/2/2023 8 p.m. EDT,1204,71,4000,2008,540,55522,19881,32646
PJM,7/2/2023 9 p.m. EDT,1238,5,3495,2045,410,54408,18263,32668
PJM,7/2/2023 10 p.m. EDT,1200,5,1599,1321,255,52484,18326,32681
PJM,7/2/2023 11 p.m. EDT,1713,5,747,1265,217,47870,17361,32728
PJM,7/3/2023 12 a.m. EDT,1528,6,458,1027,174,44478,15635,32799
PJM,7/3/2023 1 a.m. EDT,1928,5,489,1023,218,43944,14992,32797
PJM,7/3/2023 2 a.m. EDT,1893,5,452,1013,217,41982,14399,32811
PJM,7/3/2023 3 a.m. EDT,1851,5,442,995,218,40473,14051,32807
PJM,7/3/2023 4 a.m. EDT,1580,5,454,999,221,40444,13793,32815
PJM,7/3/2023 5 a.m. EDT,1615,5,484,991,227,40838,13988,32819
PJM,7/3/2023 6 a.m. EDT,1562,70,491,1004,225,42082,14119,32834
PJM,7/3/2023 7 a.m. EDT,1350,732,596,1067,230,44845,14148,32829
PJM,7/3/2023 8 a.m. EDT,833,1458,543,1110,228,47480,14848,32820
PJM,7/3/2023 9 a.m. EDT,644,2182,508,1260,225,51101,16101,32811
PJM,7/3/2023 10 a.m. EDT,761,2685,675,1821,238,53403,16752,32785
PJM,7/3/2023 11 a.m. EDT,885,3158,1074,2532,447,56147,16805,32768
PJM,7/3/2023 12 p.m. EDT,1153,3321,2462,2746,440,58392,17227,32752
PJM,7/3/2023 1 p.m. EDT,1273,3467,3910,2860,390,59902,17637,32702
PJM,7/3/2023 2 p.m. EDT,1368,2937,4140,3225,664,61994,19332,32685
PJM,7/3/2023 3 p.m. EDT,1705,2820,4780,3338,706,62334,19676,32664
PJM,7/3/2023 4 p.m. EDT,1241,2800,5223,3473,702,62924,21174,32641
PJM,7/3/2023 5 p.m. EDT,1500,2327,5336,3446,793,63497,21677,32625
PJM,7/3/2023 6 p.m. EDT,1407,1362,5456,3381,840,63198,21405,32644
