datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
7/1/2023 4:00,7/1/2023 0:00,1,PJM-RTO,,,ZONE,,24.12,24.203822,0.147105,-0.063283,TRUE,1
7/1/2023 5:00,7/1/2023 1:00,1,PJM-RTO,,,ZONE,,21.42,21.972813,0.591825,-0.039012,TRUE,1
7/1/2023 6:00,7/1/2023 2:00,1,PJM-RTO,,,ZONE,,20.08,20.031778,-0.054082,0.00586,TRUE,1
7/1/2023 7:00,7/1/2023 3:00,1,PJM-RTO,,,ZONE,,18.65,18.525362,-0.142735,0.018096,TRUE,1
7/1/2023 8:00,7/1/2023 4:00,1,PJM-RTO,,,ZONE,,18.44,18.002363,-0.340225,-0.097413,TRUE,1
7/1/2023 9:00,7/1/2023 5:00,1,PJM-RTO,,,ZONE,,17.87,17.661822,-0.114805,-0.093373,TRUE,1
7/1/2023 10:00,7/1/2023 6:00,1,PJM-RTO,,,ZONE,,17.7,17.114338,-0.458105,-0.127557,TRUE,1
7/1/2023 11:00,7/1/2023 7:00,1,PJM-RTO,,,ZONE,,18.49,18.748394,0.27894,-0.020547,TRUE,1
7/1/2023 12:00,7/1/2023 8:00,1,PJM-RTO,,,ZONE,,22.95,23.390842,0.447989,-0.007147,TRUE,1
7/1/2023 13:00,7/1/2023 9:00,1,PJM-RTO,,,ZONE,,25.68,26.318264,0.676476,-0.038212,TRUE,1
7/1/2023 14:00,7/1/2023 10:00,1,PJM-RTO,,,ZONE,,26.68,27.55661,0.891446,-0.014835,TRUE,1
7/1/2023 15:00,7/1/2023 11:00,1,PJM-RTO,,,ZONE,,29.85,31.167927,1.354295,-0.036367,TRUE,1
7/1/2023 16:00,7/1/2023 12:00,1,PJM-RTO,,,ZONE,,31.24,32.674036,1.446847,-0.012811,TRUE,1
7/1/2023 17:00,7/1/2023 13:00,1,PJM-RTO,,,ZONE,,32.39,33.64697,1.271245,-0.014274,TRUE,1
7/1/2023 18:00,7/1/2023 14:00,1,PJM-RTO,,,ZONE,,33.54,34.978836,1.432527,0.006309,TRUE,1
7/1/2023 19:00,7/1/2023 15:00,1,PJM-RTO,,,ZONE,,35.75,37.872894,2.104033,0.018861,TRUE,1
7/1/2023 20:00,7/1/2023 16:00,1,PJM-RTO,,,ZONE,,37.53,39.997908,2.428051,0.039857,TRUE,1
7/1/2023 21:00,7/1/2023 17:00,1,PJM-RTO,,,ZONE,,41.81,44.334415,2.488695,0.03572,TRUE,1
