datetime_beginning_utc,Timestamp_hr_ending_FIRST,nerc_region,mkt_region,zone,load_area,Demand_MWh,is_verified
7/1/2023 4:00,7/1/2023 0:00,RTO,RTO,RTO,RTO,88394.48,FALSE
7/1/2023 5:00,7/1/2023 1:00,RTO,RTO,RTO,RTO,83357.557,FALSE
7/1/2023 6:00,7/1/2023 2:00,RTO,RTO,RTO,RTO,79600.749,FALSE
7/1/2023 7:00,7/1/2023 3:00,RTO,RTO,RTO,RTO,77119.354,FALSE
7/1/2023 8:00,7/1/2023 4:00,RTO,RTO,RTO,RTO,75569.652,FALSE
7/1/2023 9:00,7/1/2023 5:00,RTO,RTO,RTO,RTO,75430.082,FALSE
7/1/2023 10:00,7/1/2023 6:00,RTO,RTO,RTO,RTO,75578.427,FALSE
7/1/2023 11:00,7/1/2023 7:00,RTO,RTO,RTO,RTO,78152.739,FALSE
7/1/2023 12:00,7/1/2023 8:00,RTO,RTO,RTO,RTO,82969.006,FALSE
7/1/2023 13:00,7/1/2023 9:00,RTO,RTO,RTO,RTO,88329.524,FALSE
7/1/2023 14:00,7/1/2023 10:00,RTO,RTO,RTO,RTO,93527.754,FALSE
7/1/2023 15:00,7/1/2023 11:00,RTO,RTO,RTO,RTO,98069.12,FALSE
7/1/2023 16:00,7/1/2023 12:00,RTO,RTO,RTO,RTO,101739.843,FALSE
7/1/2023 17:00,7/1/2023 13:00,RTO,RTO,RTO,RTO,104783.698,FALSE
7/1/2023 18:00,7/1/2023 14:00,RTO,RTO,RTO,RTO,107168.363,FALSE
7/1/2023 19:00,7/1/2023 15:00,RTO,RTO,RTO,RTO,109457.132,FALSE
7/1/2023 20:00,7/1/2023 16:00,RTO,RTO,RTO,RTO,111121.166,FALSE
7/1/2023 21:00,7/1/2023 17:00,RTO,RTO,RTO,RTO,111386.48,FALSE
7/1/2023 22:00,7/1/2023 18:00,RTO,RTO,RTO,RTO,108965.785,FALSE
7/1/2023 23:00,7/1/2023 19:00,RTO,RTO,RTO,RTO,105865.999,FALSE
7/2/2023 0:00,7/1/2023 20:00,RTO,RTO,RTO,RTO,102683.927,FALSE
7/2/2023 1:00,7/1/2023 21:00,RTO,RTO,RTO,RTO,100285.669,FALSE
7/2/2023 2:00,7/1/2023 22:00,RTO,RTO,RTO,RTO,95903.147,FALSE
7/2/2023 3:00,7/1/2023 23:00,RTO,RTO,RTO,RTO,90823.066,FALSE
7/2/2023 4:00,7/2/2023 0:00,RTO,RTO,RTO,RTO,85413.742,FALSE
7/2/2023 5:00,7/2/2023 1:00,RTO,RTO,RTO,RTO,81057.052,FALSE
7/2/2023 6:00,7/2/2023 2:00,RTO,RTO,RTO,RTO,77892.418,FALSE
7/2/2023 7:00,7/2/2023 3:00,RTO,RTO,RTO,RTO,75905.15,FALSE
7/2/2023 8:00,7/2/2023 4:00,RTO,RTO,RTO,RTO,74812.475,FALSE
7/2/2023 9:00,7/2/2023 5:00,RTO,RTO,RTO,RTO,74428.557,FALSE
7/2/2023 10:00,7/2/2023 6:00,RTO,RTO,RTO,RTO,74659.977,FALSE
7/2/2023 11:00,7/2/2023 7:00,RTO,RTO,RTO,RTO,76934.947,FALSE
7/2/2023 12:00,7/2/2023 8:00,RTO,RTO,RTO,RTO,81384.38,FALSE
7/2/2023 13:00,7/2/2023 9:00,RTO,RTO,RTO,RTO,86722.404,FALSE
7/2/2023 14:00,7/2/2023 10:00,RTO,RTO,RTO,RTO,91878.373,FALSE
7/2/2023 15:00,7/2/2023 11:00,RTO,RTO,RTO,RTO,96672.971,FALSE
7/2/2023 16:00,7/2/2023 12:00,RTO,RTO,RTO,RTO,101101.532,FALSE
7/2/2023 17:00,7/2/2023 13:00,RTO,RTO,RTO,RTO,105305.385,FALSE
7/2/2023 18:00,7/2/2023 14:00,RTO,RTO,RTO,RTO,108561.137,FALSE
7/2/2023 19:00,7/2/2023 15:00,RTO,RTO,RTO,RTO,110977.094,FALSE
7/2/2023 20:00,7/2/2023 16:00,RTO,RTO,RTO,RTO,113416.225,FALSE
7/2/2023 21:00,7/2/2023 17:00,RTO,RTO,RTO,RTO,115167.292,FALSE
7/2/2023 22:00,7/2/2023 18:00,RTO,RTO,RTO,RTO,114548.174,FALSE
7/2/2023 23:00,7/2/2023 19:00,RTO,RTO,RTO,RTO,111851.603,FALSE
7/3/2023 0:00,7/2/2023 20:00,RTO,RTO,RTO,RTO,108016.662,FALSE
7/3/2023 1:00,7/2/2023 21:00,RTO,RTO,RTO,RTO,104605.641,FALSE
7/3/2023 2:00,7/2/2023 22:00,RTO,RTO,RTO,RTO,99061.677,FALSE
7/3/2023 3:00,7/2/2023 23:00,RTO,RTO,RTO,RTO,92454.383,FALSE
7/3/2023 4:00,7/3/2023 0:00,RTO,RTO,RTO,RTO,86020.908,FALSE
7/3/2023 5:00,7/3/2023 1:00,RTO,RTO,RTO,RTO,81681.507,FALSE
7/3/2023 6:00,7/3/2023 2:00,RTO,RTO,RTO,RTO,78790.505,FALSE
7/3/2023 7:00,7/3/2023 3:00,RTO,RTO,RTO,RTO,77038.88,FALSE
7/3/2023 8:00,7/3/2023 4:00,RTO,RTO,RTO,RTO,76641.948,FALSE
7/3/2023 9:00,7/3/2023 5:00,RTO,RTO,RTO,RTO,77831.598,FALSE
7/3/2023 10:00,7/3/2023 6:00,RTO,RTO,RTO,RTO,80618.864,FALSE
7/3/2023 11:00,7/3/2023 7:00,RTO,RTO,RTO,RTO,85218.94,FALSE
7/3/2023 12:00,7/3/2023 8:00,RTO,RTO,RTO,RTO,90274.137,FALSE
7/3/2023 13:00,7/3/2023 9:00,RTO,RTO,RTO,RTO,95477.945,FALSE
7/3/2023 14:00,7/3/2023 10:00,RTO,RTO,RTO,RTO,100719.231,FALSE
7/3/2023 15:00,7/3/2023 11:00,RTO,RTO,RTO,RTO,105684.719,FALSE
7/3/2023 16:00,7/3/2023 12:00,RTO,RTO,RTO,RTO,110491.644,FALSE
7/3/2023 17:00,7/3/2023 13:00,RTO,RTO,RTO,RTO,114858.718,FALSE
7/3/2023 18:00,7/3/2023 14:00,RTO,RTO,RTO,RTO,118596.77,FALSE
7/3/2023 19:00,7/3/2023 15:00,RTO,RTO,RTO,RTO,121120.178,FALSE
7/3/2023 20:00,7/3/2023 16:00,RTO,RTO,RTO,RTO,123312.153,FALSE
7/3/2023 21:00,7/3/2023 17:00,RTO,RTO,RTO,RTO,124292.099,FALSE
7/3/2023 22:00,7/3/2023 18:00,RTO,RTO,RTO,RTO,122774.868,FALSE
7/3/2023 23:00,7/3/2023 19:00,RTO,RTO,RTO,RTO,118645.751,FALSE
7/4/2023 0:00,7/3/2023 20:00,RTO,RTO,RTO,RTO,113225.135,FALSE
7/4/2023 1:00,7/3/2023 21:00,RTO,RTO,RTO,RTO,108535.262,FALSE
7/4/2023 2:00,7/3/2023 22:00,RTO,RTO,RTO,RTO,102125.214,FALSE
7/4/2023 3:00,7/3/2023 23:00,RTO,RTO,RTO,RTO,95153.375,FALSE
7/4/2023 4:00,7/4/2023 0:00,RTO,RTO,RTO,RTO,88739.011,FALSE
7/4/2023 5:00,7/4/2023 1:00,RTO,RTO,RTO,RTO,83734.06,FALSE
7/4/2023 6:00,7/4/2023 2:00,RTO,RTO,RTO,RTO,79955.506,FALSE
7/4/2023 7:00,7/4/2023 3:00,RTO,RTO,RTO,RTO,77427.479,FALSE
7/4/2023 8:00,7/4/2023 4:00,RTO,RTO,RTO,RTO,76282.32,FALSE
7/4/2023 9:00,7/4/2023 5:00,RTO,RTO,RTO,RTO,76203.136,FALSE
7/4/2023 10:00,7/4/2023 6:00,RTO,RTO,RTO,RTO,76530.399,FALSE
7/4/2023 11:00,7/4/2023 7:00,RTO,RTO,RTO,RTO,79571.232,FALSE
7/4/2023 12:00,7/4/2023 8:00,RTO,RTO,RTO,RTO,85430.405,FALSE
7/4/2023 13:00,7/4/2023 9:00,RTO,RTO,RTO,RTO,92476,FALSE
7/4/2023 14:00,7/4/2023 10:00,RTO,RTO,RTO,RTO,100070.16,FALSE
7/4/2023 15:00,7/4/2023 11:00,RTO,RTO,RTO,RTO,106962.693,FALSE
7/4/2023 16:00,7/4/2023 12:00,RTO,RTO,RTO,RTO,112607.318,FALSE
7/4/2023 17:00,7/4/2023 13:00,RTO,RTO,RTO,RTO,116945.597,FALSE
7/4/2023 18:00,7/4/2023 14:00,RTO,RTO,RTO,RTO,119440.385,FALSE
7/4/2023 19:00,7/4/2023 15:00,RTO,RTO,RTO,RTO,121637.986,FALSE
7/4/2023 20:00,7/4/2023 16:00,RTO,RTO,RTO,RTO,123056.101,FALSE
7/4/2023 21:00,7/4/2023 17:00,RTO,RTO,RTO,RTO,123813.895,FALSE
7/4/2023 22:00,7/4/2023 18:00,RTO,RTO,RTO,RTO,122273.929,FALSE
7/4/2023 23:00,7/4/2023 19:00,RTO,RTO,RTO,RTO,118974.359,FALSE
7/5/2023 0:00,7/4/2023 20:00,RTO,RTO,RTO,RTO,114255.016,FALSE
7/5/2023 1:00,7/4/2023 21:00,RTO,RTO,RTO,RTO,109424.882,FALSE
7/5/2023 2:00,7/4/2023 22:00,RTO,RTO,RTO,RTO,104257.497,FALSE
7/5/2023 3:00,7/4/2023 23:00,RTO,RTO,RTO,RTO,98362.169,FALSE
7/5/2023 4:00,7/5/2023 0:00,RTO,RTO,RTO,RTO,91528.286,FALSE
7/5/2023 5:00,7/5/2023 1:00,RTO,RTO,RTO,RTO,86244.222,FALSE
7/5/2023 6:00,7/5/2023 2:00,RTO,RTO,RTO,RTO,82555.662,FALSE
7/5/2023 7:00,7/5/2023 3:00,RTO,RTO,RTO,RTO,80028.309,FALSE
7/5/2023 8:00,7/5/2023 4:00,RTO,RTO,RTO,RTO,79366.676,FALSE
7/5/2023 9:00,7/5/2023 5:00,RTO,RTO,RTO,RTO,81574.23,FALSE
7/5/2023 10:00,7/5/2023 6:00,RTO,RTO,RTO,RTO,85770.556,FALSE
7/5/2023 11:00,7/5/2023 7:00,RTO,RTO,RTO,RTO,92720.572,FALSE
7/5/2023 12:00,7/5/2023 8:00,RTO,RTO,RTO,RTO,100487.45,FALSE
7/5/2023 13:00,7/5/2023 9:00,RTO,RTO,RTO,RTO,108363.337,FALSE
7/5/2023 14:00,7/5/2023 10:00,RTO,RTO,RTO,RTO,116493.458,FALSE
7/5/2023 15:00,7/5/2023 11:00,RTO,RTO,RTO,RTO,123554.781,FALSE
7/5/2023 16:00,7/5/2023 12:00,RTO,RTO,RTO,RTO,129520.639,FALSE
7/5/2023 17:00,7/5/2023 13:00,RTO,RTO,RTO,RTO,134118.051,FALSE
7/5/2023 18:00,7/5/2023 14:00,RTO,RTO,RTO,RTO,136546.563,FALSE
7/5/2023 19:00,7/5/2023 15:00,RTO,RTO,RTO,RTO,137332.361,FALSE
7/5/2023 20:00,7/5/2023 16:00,RTO,RTO,RTO,RTO,137756.808,FALSE
7/5/2023 21:00,7/5/2023 17:00,RTO,RTO,RTO,RTO,138211.109,FALSE
7/5/2023 22:00,7/5/2023 18:00,RTO,RTO,RTO,RTO,137052.923,FALSE
