Region_Code,Timestamp_hr_ending,Wind_Generation_MWh,Solar_Generation_MWh,Hydro_Generation_MWh,Other_Generation_MWh,Petroleum_Generation_MWh,Natural_gas_Generation_MWh,Coal_Generation_MWh,Nuclear_Generation_MWh
PJM,12/1/2023 12 a.m. EST,7039,7,758,1042,245,40525,16094,33813
PJM,12/1/2023 1 a.m. EST,3332,7,875,1013,221,39056,13686,33757
PJM,12/1/2023 2 a.m. EST,2706,7,813,1030,222,38962,13533,33754
PJM,12/1/2023 3 a.m. EST,3169,7,814,1026,224,39105,13372,33777
PJM,12/1/2023 4 a.m. EST,4119,7,777,1040,224,38725,13385,33774
PJM,12/1/2023 5 a.m. EST,4220,7,935,1064,225,41279,13826,33771
PJM,12/1/2023 6 a.m. EST,3326,7,2577,1052,249,43898,15344,33768
PJM,12/1/2023 7 a.m. EST,3560,76,3801,1052,298,45836,16568,33772
PJM,12/1/2023 8 a.m. EST,3516,793,3299,1158,274,46766,16504,33767
PJM,12/1/2023 9 a.m. EST,3069,1052,3050,1132,229,46568,16249,33778
PJM,12/1/2023 10 a.m. EST,2390,984,2613,1147,228,47370,16957,33723
PJM,12/1/2023 11 a.m. EST,2550,890,1653,1111,227,47129,16417,33767
PJM,12/1/2023 12 p.m. EST,2352,833,1048,1079,324,47464,16708,33756
PJM,12/1/2023 1 p.m. EST,2375,683,750,1061,224,46878,16595,33759
PJM,12/1/2023 2 p.m. EST,2129,367,792,1070,224,47733,16469,33749
PJM,12/1/2023 3 p.m. EST,1851,185,665,1057,247,46868,16060,33751
PJM,12/1/2023 4 p.m. EST,1874,22,1729,1050,266,47844,16055,33749
PJM,12/1/2023 5 p.m. EST,2191,7,3453,1025,299,47462,15811,33741
PJM,12/1/2023 6 p.m. EST,2135,7,2502,1055,295,47314,15970,33757
PJM,12/1/2023 7 p.m. EST,1929,7,2434,1023,217,46916,15962,33755
PJM,12/1/2023 8 p.m. EST,1993,7,1647,1032,219,44777,15941,33752
PJM,12/1/2023 9 p.m. EST,2008,9,1265,994,222,43068,15425,33740
PJM,12/1/2023 10 p.m. EST,2171,7,774,1008,227,41135,15119,33749
PJM,12/1/2023 11 p.m. EST,2545,7,733,1024,220,38509,13874,33748
PJM,12/2/2023 12 a.m. EST,3776,7,857,1021,222,39721,13608,33768
PJM,12/2/2023 1 a.m. EST,3004,7,627,1030,219,35067,12595,33754
PJM,12/2/2023 2 a.m. EST,2883,7,596,1020,228,34847,12473,33731
PJM,12/2/2023 3 a.m. EST,2831,7,656,1015,230,34262,12683,33731
PJM,12/2/2023 4 a.m. EST,2745,7,665,1017,233,34356,12759,33735
PJM,12/2/2023 5 a.m. EST,2614,7,677,1012,232,35309,12974,33745
PJM,12/2/2023 6 a.m. EST,2503,7,739,1002,232,35380,13375,33735
PJM,12/2/2023 7 a.m. EST,2086,12,1043,1017,232,37344,13691,33732
PJM,12/2/2023 8 a.m. EST,1686,204,1542,1039,231,38212,14234,33740
PJM,12/2/2023 9 a.m. EST,1273,473,2616,1028,230,38546,13968,33732
PJM,12/2/2023 10 a.m. EST,1056,776,1445,1053,229,39934,14335,33738
PJM,12/2/2023 11 a.m. EST,909,1107,1031,1055,226,40212,14580,33721
PJM,12/2/2023 12 p.m. EST,626,1167,1011,1035,225,40022,14371,33719
PJM,12/2/2023 1 p.m. EST,532,916,1066,1013,382,39363,13812,33719
PJM,12/2/2023 2 p.m. EST,294,583,1046,1009,339,39010,13692,33703
PJM,12/2/2023 3 p.m. EST,174,288,1145,1011,224,39777,13764,33698
PJM,12/2/2023 4 p.m. EST,110,42,1760,1024,224,40845,13723,33698
PJM,12/2/2023 5 p.m. EST,226,7,3756,1030,221,42057,14475,33700
PJM,12/2/2023 6 p.m. EST,370,7,3170,1036,218,42359,14929,33698
PJM,12/2/2023 7 p.m. EST,604,7,2526,1029,216,42345,14369,33697
PJM,12/2/2023 8 p.m. EST,644,7,1895,1015,217,41528,14207,33694
PJM,12/2/2023 9 p.m. EST,747,7,1077,1011,219,40706,13721,33708
PJM,12/2/2023 10 p.m. EST,1149,7,649,1005,222,38798,13051,33711
PJM,12/2/2023 11 p.m. EST,1634,7,733,1013,218,36544,12866,33718
PJM,12/3/2023 12 a.m. EST,2875,7,687,1034,226,36393,13119,33738
PJM,12/3/2023 1 a.m. EST,910,7,662,1017,218,34092,12214,33726
PJM,12/3/2023 2 a.m. EST,956,7,692,1019,226,33785,11832,33711
PJM,12/3/2023 3 a.m. EST,1337,7,662,1012,219,33173,11715,33728
PJM,12/3/2023 4 a.m. EST,1345,7,681,1004,224,33272,11621,33733
PJM,12/3/2023 5 a.m. EST,1027,7,784,1005,227,33649,11680,33722
PJM,12/3/2023 6 a.m. EST,1099,7,738,1006,226,34156,11888,33730
PJM,12/3/2023 7 a.m. EST,1274,7,1117,990,227,34144,11992,33713
PJM,12/3/2023 8 a.m. EST,1625,137,1115,991,228,35996,12540,33712
PJM,12/3/2023 9 a.m. EST,2437,430,1158,1029,224,36904,13159,33706
PJM,12/3/2023 10 a.m. EST,3375,652,883,1039,227,37325,13302,33708
PJM,12/3/2023 11 a.m. EST,4820,1056,1080,1057,224,36712,13507,33703
PJM,12/3/2023 12 p.m. EST,5531,882,1035,1068,224,36693,13394,33693
PJM,12/3/2023 1 p.m. EST,6385,599,1113,1070,218,36926,12828,33689
PJM,12/3/2023 2 p.m. EST,6840,754,1058,1036,222,36268,12368,33699
