datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
12/1/2023 5:00:00 AM,12/1/2023 12:00:00 AM,1,PJM-RTO,,,ZONE,,25.82,26.956158,0.731541,0.404617,True,1
12/1/2023 6:00:00 AM,12/1/2023 1:00:00 AM,1,PJM-RTO,,,ZONE,,25.08,25.678800,0.373740,0.225061,True,1
12/1/2023 7:00:00 AM,12/1/2023 2:00:00 AM,1,PJM-RTO,,,ZONE,,24.74,25.131800,0.210235,0.181565,True,1
12/1/2023 8:00:00 AM,12/1/2023 3:00:00 AM,1,PJM-RTO,,,ZONE,,24.44,24.949571,0.357249,0.152322,True,1
12/1/2023 9:00:00 AM,12/1/2023 4:00:00 AM,1,PJM-RTO,,,ZONE,,25.23,26.018795,0.598789,0.190006,True,1
12/1/2023 10:00:00 AM,12/1/2023 5:00:00 AM,1,PJM-RTO,,,ZONE,,28.65,30.323044,1.534061,0.138983,True,1
12/1/2023 11:00:00 AM,12/1/2023 6:00:00 AM,1,PJM-RTO,,,ZONE,,36.36,40.729292,4.088837,0.280455,True,1
12/1/2023 12:00:00 PM,12/1/2023 7:00:00 AM,1,PJM-RTO,,,ZONE,,40.62,45.567427,4.545091,0.402336,True,1
12/1/2023 1:00:00 PM,12/1/2023 8:00:00 AM,1,PJM-RTO,,,ZONE,,36.24,39.299696,2.784857,0.274839,True,1
12/1/2023 2:00:00 PM,12/1/2023 9:00:00 AM,1,PJM-RTO,,,ZONE,,35.62,36.225309,0.426416,0.178894,True,1
12/1/2023 3:00:00 PM,12/1/2023 10:00:00 AM,1,PJM-RTO,,,ZONE,,37.41,37.827501,0.301059,0.116442,True,1
12/1/2023 4:00:00 PM,12/1/2023 11:00:00 AM,1,PJM-RTO,,,ZONE,,35.36,35.706938,0.231434,0.115504,True,1
12/1/2023 5:00:00 PM,12/1/2023 12:00:00 PM,1,PJM-RTO,,,ZONE,,34.63,34.807915,0.094276,0.083639,True,1
12/1/2023 6:00:00 PM,12/1/2023 1:00:00 PM,1,PJM-RTO,,,ZONE,,32.62,32.836387,0.146159,0.070227,True,1
12/1/2023 7:00:00 PM,12/1/2023 2:00:00 PM,1,PJM-RTO,,,ZONE,,32.31,32.470222,0.053538,0.106683,True,1
12/1/2023 8:00:00 PM,12/1/2023 3:00:00 PM,1,PJM-RTO,,,ZONE,,31.55,32.049539,0.311060,0.188479,True,1
12/1/2023 9:00:00 PM,12/1/2023 4:00:00 PM,1,PJM-RTO,,,ZONE,,36.69,38.854502,1.951604,0.212898,True,1
