datetime_beginning_utc,Timestamp_hr_ending_FIRST,nerc_region,mkt_region,zone,load_area,Demand_MWh,is_verified
12/1/2023 5:00,12/1/2023 0:00,RTO,RTO,RTO,RTO,83745.928,FALSE
12/1/2023 6:00,12/1/2023 1:00,RTO,RTO,RTO,RTO,81889.818,FALSE
12/1/2023 7:00,12/1/2023 2:00,RTO,RTO,RTO,RTO,81169.032,FALSE
12/1/2023 8:00,12/1/2023 3:00,RTO,RTO,RTO,RTO,81517.606,FALSE
12/1/2023 9:00,12/1/2023 4:00,RTO,RTO,RTO,RTO,83283.419,FALSE
12/1/2023 10:00,12/1/2023 5:00,RTO,RTO,RTO,RTO,87902.374,FALSE
12/1/2023 11:00,12/1/2023 6:00,RTO,RTO,RTO,RTO,94945.087,FALSE
12/1/2023 12:00,12/1/2023 7:00,RTO,RTO,RTO,RTO,98998.359,FALSE
12/1/2023 13:00,12/1/2023 8:00,RTO,RTO,RTO,RTO,99009.783,FALSE
12/1/2023 14:00,12/1/2023 9:00,RTO,RTO,RTO,RTO,98503.486,FALSE
12/1/2023 15:00,12/1/2023 10:00,RTO,RTO,RTO,RTO,98139.761,FALSE
12/1/2023 16:00,12/1/2023 11:00,RTO,RTO,RTO,RTO,97628.234,FALSE
12/1/2023 17:00,12/1/2023 12:00,RTO,RTO,RTO,RTO,97099.759,FALSE
12/1/2023 18:00,12/1/2023 13:00,RTO,RTO,RTO,RTO,96268.508,FALSE
12/1/2023 19:00,12/1/2023 14:00,RTO,RTO,RTO,RTO,95620.85,FALSE
12/1/2023 20:00,12/1/2023 15:00,RTO,RTO,RTO,RTO,95412.378,FALSE
12/1/2023 21:00,12/1/2023 16:00,RTO,RTO,RTO,RTO,96966.109,FALSE
12/1/2023 22:00,12/1/2023 17:00,RTO,RTO,RTO,RTO,98871.347,FALSE
12/1/2023 23:00,12/1/2023 18:00,RTO,RTO,RTO,RTO,97355.635,FALSE
12/2/2023 0:00,12/1/2023 19:00,RTO,RTO,RTO,RTO,95064.415,FALSE
12/2/2023 1:00,12/1/2023 20:00,RTO,RTO,RTO,RTO,93106.865,FALSE
12/2/2023 2:00,12/1/2023 21:00,RTO,RTO,RTO,RTO,90253.816,FALSE
12/2/2023 3:00,12/1/2023 22:00,RTO,RTO,RTO,RTO,86179.265,FALSE
12/2/2023 4:00,12/1/2023 23:00,RTO,RTO,RTO,RTO,81748.378,FALSE
12/2/2023 5:00,12/2/2023 0:00,RTO,RTO,RTO,RTO,78156.225,FALSE
12/2/2023 6:00,12/2/2023 1:00,RTO,RTO,RTO,RTO,75559.045,FALSE
12/2/2023 7:00,12/2/2023 2:00,RTO,RTO,RTO,RTO,74020.442,FALSE
12/2/2023 8:00,12/2/2023 3:00,RTO,RTO,RTO,RTO,73493.03,FALSE
12/2/2023 9:00,12/2/2023 4:00,RTO,RTO,RTO,RTO,73742.825,FALSE
12/2/2023 10:00,12/2/2023 5:00,RTO,RTO,RTO,RTO,75156.252,FALSE
12/2/2023 11:00,12/2/2023 6:00,RTO,RTO,RTO,RTO,77779.355,FALSE
12/2/2023 12:00,12/2/2023 7:00,RTO,RTO,RTO,RTO,80439.416,FALSE
12/2/2023 13:00,12/2/2023 8:00,RTO,RTO,RTO,RTO,82745.586,FALSE
12/2/2023 14:00,12/2/2023 9:00,RTO,RTO,RTO,RTO,84158.027,FALSE
12/2/2023 15:00,12/2/2023 10:00,RTO,RTO,RTO,RTO,84477.008,FALSE
12/2/2023 16:00,12/2/2023 11:00,RTO,RTO,RTO,RTO,83628.771,FALSE
12/2/2023 17:00,12/2/2023 12:00,RTO,RTO,RTO,RTO,82662.438,FALSE
12/2/2023 18:00,12/2/2023 13:00,RTO,RTO,RTO,RTO,81762.345,FALSE
12/2/2023 19:00,12/2/2023 14:00,RTO,RTO,RTO,RTO,81333.104,FALSE
12/2/2023 20:00,12/2/2023 15:00,RTO,RTO,RTO,RTO,81913.822,FALSE
